artist,song,original_path,drum_path,n_drum_tracks_merged,n_notes,n_unique_drums,bpm,duration
Depeche Mode,Black Celebration.3.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Black Celebration.3.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Black_Celebration.3.mid,10,3185,11,120.0,314.0
Depeche Mode,Black Celebration.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Black Celebration.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Black_Celebration.mid,10,3185,11,120.0,314.0
Depeche Mode,Blasphemous Rumours.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Blasphemous Rumours.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Blasphemous_Rumours.1.mid,1,988,11,109.99990833340973,229.08655454166663
Depeche Mode,Blasphemous Rumours.2.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Blasphemous Rumours.2.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Blasphemous_Rumours.2.mid,1,988,11,110.00011000011,229.08499818750002
Depeche Mode,Blasphemous Rumours.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Blasphemous Rumours.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Blasphemous_Rumours.mid,1,988,11,110.00011000011,229.08613455000003
Depeche Mode,Boys Say Go!.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Boys Say Go!.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Boys_Say_Go!.mid,1,1827,10,137.0000639333632,180.76633899999996
Depeche Mode,But Not Tonight.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/But Not Tonight.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__But_Not_Tonight.mid,1,1536,10,128.0000725334107,253.69276116666668
Depeche Mode,Dream On.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Dream On.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Dream_On.mid,1,2856,7,126.99998518333504,262.55908575
Depeche Mode,Dreaming of Me.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Dreaming of Me.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Dreaming_of_Me.1.mid,2,1334,4,135.000135000135,215.0627479
Depeche Mode,Dreaming of Me.2.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Dreaming of Me.2.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Dreaming_of_Me.2.mid,2,1713,5,130.00013000013,225.23054399999998
Depeche Mode,Dreaming of Me.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Dreaming of Me.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Dreaming_of_Me.mid,2,1334,4,135.000135000135,215.0627479
Depeche Mode,Enjoy the Silence.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Enjoy the Silence.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Enjoy_the_Silence.1.mid,6,2517,10,120.0,212.05208333333334
Depeche Mode,Enjoy the Silence.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Enjoy the Silence.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Enjoy_the_Silence.mid,1,1826,7,115.00201253521936,254.65586953125
Depeche Mode,Everything Counts.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Everything Counts.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Everything_Counts.1.mid,1,1908,12,108.000108000108,217.77293037500002
Depeche Mode,Everything Counts.2.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Everything Counts.2.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Everything_Counts.2.mid,2,1836,11,109.00014170018422,235.59143685
Depeche Mode,Everything Counts.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Everything Counts.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Everything_Counts.mid,1,1908,12,108.000108000108,217.77177296875
Depeche Mode,Fly on the Windscreen (Final).mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Fly on the Windscreen (Final).mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Fly_on_the_Windscreen_(Final).mid,2,2365,6,94.99999208333399,333.42634357500003
Depeche Mode,I Sometimes Wish I Was Dead.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/I Sometimes Wish I Was Dead.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__I_Sometimes_Wish_I_Was_Dead.mid,1,276,2,127.00025400050801,138.18869999999998
Depeche Mode,Ice Machine.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Ice Machine.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Ice_Machine.1.mid,1,1529,6,135.000135000135,234.666432
Depeche Mode,Ice Machine.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Ice Machine.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Ice_Machine.mid,1,907,1,112.00005973336519,299.99984000000006
Depeche Mode,In Your Room.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/In Your Room.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__In_Your_Room.mid,1,3141,10,99.000099000099,390.26476125
Depeche Mode,It's No Good.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/It's No Good.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__It's_No_Good.mid,3,4501,6,99.19995238402284,358.2410993750001
Depeche Mode,Just Can't Get Enough.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Just Can't Get Enough.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Just_Can't_Get_Enough.1.mid,3,888,3,130.00013000013,177.23059199999997
Depeche Mode,Just Can't Get Enough.2.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Just Can't Get Enough.2.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Just_Can't_Get_Enough.2.mid,4,1252,5,128.0,184.0673828125
Depeche Mode,Just Can't Get Enough.3.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Just Can't Get Enough.3.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Just_Can't_Get_Enough.3.mid,1,1377,4,130.0023833770286,230.765
Depeche Mode,Just Can't Get Enough.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Just Can't Get Enough.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Just_Can't_Get_Enough.mid,1,1377,4,130.00013000013,259.4997405
Depeche Mode,Master and Servant.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Master and Servant.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Master_and_Servant.1.mid,1,1180,4,126.00012600012599,216.66248175
Depeche Mode,Master and Servant.2.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Master and Servant.2.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Master_and_Servant.2.mid,1,1924,16,126.00012600012602,221.79789328124997
Depeche Mode,Master and Servant.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Master and Servant.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Master_and_Servant.mid,1,1180,4,126.00012600012602,216.66148968749997
Depeche Mode,Never Let Me Down Again.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Never Let Me Down Again.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Never_Let_Me_Down_Again.mid,5,3107,5,109.00014170018423,281.83449599999994
Depeche Mode,New Life (remix).mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/New Life (remix).mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__New_Life_(remix).mid,1,3636,6,159.0002067002687,239.056293
Depeche Mode,New Life.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/New Life.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__New_Life.mid,1,3152,6,159.0002067002687,223.584615
Depeche Mode,No Disco.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/No Disco.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__No_Disco.mid,1,765,3,123.00022140039853,256.584904
Depeche Mode,People Are People.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/People Are People.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__People_Are_People.mid,1,990,5,120.0,230.0
Depeche Mode,Personal Jesus.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Personal Jesus.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Personal_Jesus.mid,1,4260,16,135.06668917778154,204.34349999999998
Depeche Mode,Photographic.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Photographic.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Photographic.1.mid,4,1696,4,120.0,256.0
Depeche Mode,Photographic.2.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Photographic.2.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Photographic.2.mid,2,856,2,155.00271254746957,278.70480000000003
Depeche Mode,Photographic.3.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Photographic.3.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Photographic.3.mid,1,856,2,146.00032120070665,266.3281812
Depeche Mode,Photographic.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Photographic.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Photographic.mid,1,824,2,150.0,286.5
Depeche Mode,Pipeline.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Pipeline.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Pipeline.mid,3,504,4,80.0,209.8125
Depeche Mode,Policy of Truth.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Policy of Truth.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Policy_of_Truth.1.mid,1,308,2,110.00011000011,192.999807
Depeche Mode,Policy of Truth.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Policy of Truth.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Policy_of_Truth.mid,1,1748,6,120.0,233.97916666666666
Depeche Mode,Puppets.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Puppets.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Puppets.1.mid,2,1120,4,120.0,251.70833333333334
Depeche Mode,Puppets.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Puppets.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Puppets.mid,1,1908,6,120.0,216.51302083333331
Depeche Mode,Shake the Disease.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Shake the Disease.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Shake_the_Disease.1.mid,1,1529,4,120.0,261.99583333333334
Depeche Mode,Shout (Rio mix).mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Shout (Rio mix).mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Shout_(Rio_mix).mid,1,5766,10,118.50002666250599,453.1433579583333
Depeche Mode,Shout.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Shout.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Shout.mid,1,3007,9,118.50002666250599,226.83539199999998
Depeche Mode,Strange Love.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Strange Love.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Strange_Love.1.mid,4,1033,4,120.0,171.48958333333331
Depeche Mode,Strange Love.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Strange Love.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Strange_Love.mid,1,1033,4,120.0,173.48958333333331
Depeche Mode,Strangelove.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Strangelove.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Strangelove.1.mid,4,1033,4,120.0,171.48958333333331
Depeche Mode,Strangelove.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Strangelove.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Strangelove.mid,1,1033,4,120.0,171.48958333333331
Depeche Mode,The Things You Said.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/The Things You Said.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__The_Things_You_Said.1.mid,1,677,3,110.00011000011,175.3543701
Depeche Mode,The Things You Said.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/The Things You Said.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__The_Things_You_Said.mid,2,596,3,115.0000287500072,185.54343187499998
Depeche Mode,Tora! Tora! Tora!.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Tora! Tora! Tora!.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Tora!_Tora!_Tora!.1.mid,1,3887,13,118.00013373348487,275.7200265
Depeche Mode,Walking in My Shoes.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Depeche Mode/Walking in My Shoes.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Depeche_Mode__Walking_in_My_Shoes.mid,1,3557,8,94.00115934763195,315.5812141666667
Duran Duran,A View To A Kill.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/A View To A Kill.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__A_View_To_A_Kill.1.mid,3,1148,12,126.99998518333504,220.6555375541667
Duran Duran,A View To A Kill.2.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/A View To A Kill.2.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__A_View_To_A_Kill.2.mid,1,1148,12,126.99003974788243,220.67281855833335
Duran Duran,A View To A Kill.3.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/A View To A Kill.3.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__A_View_To_A_Kill.3.mid,3,1148,12,126.99998518333504,220.6555375541667
Duran Duran,A View To A Kill.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/A View To A Kill.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__A_View_To_A_Kill.mid,1,1148,12,126.99003974788243,220.67281855833335
Duran Duran,Come Undone.2.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Come Undone.2.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Come_Undone.2.mid,1,2463,9,100.05002501250625,220.68959999999998
Duran Duran,Come Undone.3.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Come Undone.3.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Come_Undone.3.mid,1,2463,9,100.05002501250625,220.68959999999998
Duran Duran,Come Undone.4.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Come Undone.4.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Come_Undone.4.mid,1,2467,9,100.05002501250625,218.2908
Duran Duran,Come Undone.5.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Come Undone.5.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Come_Undone.5.mid,1,2467,9,100.04935768312367,218.292256
Duran Duran,Come Undone.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Come Undone.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Come_Undone.mid,1,4074,10,87.00065250489381,282.92891249999997
Duran Duran,Downtown.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Downtown.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Downtown.mid,1,1835,10,120.0,196.13802083333331
Duran Duran,Girls On Film.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Girls On Film.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Girls_On_Film.mid,3,2300,11,132.20023046906846,214.0786736875
Duran Duran,Girls on Film.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Girls on Film.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Girls_on_Film.1.mid,1,1857,12,105.00157502362535,285.9123779166667
Duran Duran,Hungry Like The Wolf (Night Version).mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Hungry Like The Wolf (Night Version).mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Hungry_Like_The_Wolf_(Night_Version).mid,1,1210,7,134.00005806669182,204.26483685833333
Duran Duran,Hungry Like a Wolf.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Hungry Like a Wolf.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Hungry_Like_a_Wolf.1.mid,1,1646,9,120.0,200.0
Duran Duran,Hungry Like a Wolf.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Hungry Like a Wolf.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Hungry_Like_a_Wolf.mid,1,1646,9,120.0,200.0
Duran Duran,New Moon on Monday.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/New Moon on Monday.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__New_Moon_on_Monday.1.mid,3,2524,11,120.0,264.00416666666666
Duran Duran,New Moon on Monday.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/New Moon on Monday.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__New_Moon_on_Monday.mid,3,2524,11,120.0,264.00416666666666
Duran Duran,Notorious.1.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Notorious.1.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Notorious.1.mid,2,2146,9,107.00012661681652,236.53593505208332
Duran Duran,Notorious.2.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Notorious.2.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Notorious.2.mid,1,2145,9,107.00012661681652,238.77892305208331
Duran Duran,Notorious.mid,/Users/donghyunhahn/Desktop/spring 2026/cse 153/Assignment 2/data/clean_midi/Duran Duran/Notorious.mid,/Users/donghyunhahn/Documents/GitHub/synth_music_generator/processed/drums_all/Duran_Duran__Notorious.mid,1,2146,9,107.00146235331883,238.7759422916667
