artist,song,original_path,drum_path,n_drum_tracks_merged,n_notes,n_unique_drums,bpm,duration
Depeche Mode,Blasphemous Rumours.1.mid,data/clean_midi/Depeche Mode/Blasphemous Rumours.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Blasphemous_Rumours.1.mid,1,988,11,109.99990833340972,229.08655454166663
Depeche Mode,Blasphemous Rumours.2.mid,data/clean_midi/Depeche Mode/Blasphemous Rumours.2.mid,synthpop_data/processed/drums_all/Depeche_Mode__Blasphemous_Rumours.2.mid,1,988,11,110.00011000011,229.0849981875
Depeche Mode,Blasphemous Rumours.mid,data/clean_midi/Depeche Mode/Blasphemous Rumours.mid,synthpop_data/processed/drums_all/Depeche_Mode__Blasphemous_Rumours.mid,1,988,11,110.00011000011,229.08613455000005
Depeche Mode,Boys Say Go!.mid,data/clean_midi/Depeche Mode/Boys Say Go!.mid,synthpop_data/processed/drums_all/Depeche_Mode__Boys_Say_Go!.mid,1,1827,10,137.0000639333632,180.76633899999996
Depeche Mode,But Not Tonight.mid,data/clean_midi/Depeche Mode/But Not Tonight.mid,synthpop_data/processed/drums_all/Depeche_Mode__But_Not_Tonight.mid,1,1536,10,128.0000725334107,253.69276116666668
Depeche Mode,Dream On.mid,data/clean_midi/Depeche Mode/Dream On.mid,synthpop_data/processed/drums_all/Depeche_Mode__Dream_On.mid,1,2856,7,126.99998518333504,262.55908575
Depeche Mode,Dreaming of Me.1.mid,data/clean_midi/Depeche Mode/Dreaming of Me.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Dreaming_of_Me.1.mid,2,1334,4,135.000135000135,215.0627479
Depeche Mode,Dreaming of Me.2.mid,data/clean_midi/Depeche Mode/Dreaming of Me.2.mid,synthpop_data/processed/drums_all/Depeche_Mode__Dreaming_of_Me.2.mid,2,1713,5,130.00013000013,225.230544
Depeche Mode,Dreaming of Me.mid,data/clean_midi/Depeche Mode/Dreaming of Me.mid,synthpop_data/processed/drums_all/Depeche_Mode__Dreaming_of_Me.mid,2,1334,4,135.000135000135,215.0627479
Depeche Mode,Enjoy the Silence.1.mid,data/clean_midi/Depeche Mode/Enjoy the Silence.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Enjoy_the_Silence.1.mid,6,2517,10,120.0,212.05208333333337
Depeche Mode,Enjoy the Silence.mid,data/clean_midi/Depeche Mode/Enjoy the Silence.mid,synthpop_data/processed/drums_all/Depeche_Mode__Enjoy_the_Silence.mid,1,1826,7,115.00201253521936,254.65586953125
Depeche Mode,Everything Counts.1.mid,data/clean_midi/Depeche Mode/Everything Counts.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Everything_Counts.1.mid,1,1908,12,108.000108000108,217.772930375
Depeche Mode,Everything Counts.2.mid,data/clean_midi/Depeche Mode/Everything Counts.2.mid,synthpop_data/processed/drums_all/Depeche_Mode__Everything_Counts.2.mid,2,1836,11,109.00014170018422,235.59143685
Depeche Mode,Everything Counts.mid,data/clean_midi/Depeche Mode/Everything Counts.mid,synthpop_data/processed/drums_all/Depeche_Mode__Everything_Counts.mid,1,1908,12,108.000108000108,217.77177296875
Depeche Mode,Fly on the Windscreen (Final).mid,data/clean_midi/Depeche Mode/Fly on the Windscreen (Final).mid,synthpop_data/processed/drums_all/Depeche_Mode__Fly_on_the_Windscreen_(Final).mid,2,2365,6,94.999992083334,333.42634357500003
Depeche Mode,I Sometimes Wish I Was Dead.mid,data/clean_midi/Depeche Mode/I Sometimes Wish I Was Dead.mid,synthpop_data/processed/drums_all/Depeche_Mode__I_Sometimes_Wish_I_Was_Dead.mid,1,276,2,127.000254000508,138.18869999999998
Depeche Mode,Ice Machine.1.mid,data/clean_midi/Depeche Mode/Ice Machine.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Ice_Machine.1.mid,1,1529,6,135.000135000135,234.666432
Depeche Mode,Ice Machine.mid,data/clean_midi/Depeche Mode/Ice Machine.mid,synthpop_data/processed/drums_all/Depeche_Mode__Ice_Machine.mid,1,907,1,112.0000597333652,299.99984000000006
Depeche Mode,In Your Room.mid,data/clean_midi/Depeche Mode/In Your Room.mid,synthpop_data/processed/drums_all/Depeche_Mode__In_Your_Room.mid,1,3141,10,99.000099000099,390.26476125
Depeche Mode,It's No Good.mid,data/clean_midi/Depeche Mode/It's No Good.mid,synthpop_data/processed/drums_all/Depeche_Mode__It's_No_Good.mid,3,4501,6,99.19995238402284,358.2410993750001
Depeche Mode,Just Can't Get Enough.1.mid,data/clean_midi/Depeche Mode/Just Can't Get Enough.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Just_Can't_Get_Enough.1.mid,3,888,3,130.00013000013,177.23059199999997
Depeche Mode,Just Can't Get Enough.2.mid,data/clean_midi/Depeche Mode/Just Can't Get Enough.2.mid,synthpop_data/processed/drums_all/Depeche_Mode__Just_Can't_Get_Enough.2.mid,4,1252,5,128.0,184.0673828125
Depeche Mode,Just Can't Get Enough.3.mid,data/clean_midi/Depeche Mode/Just Can't Get Enough.3.mid,synthpop_data/processed/drums_all/Depeche_Mode__Just_Can't_Get_Enough.3.mid,1,1377,4,130.0023833770286,230.765
Depeche Mode,Just Can't Get Enough.mid,data/clean_midi/Depeche Mode/Just Can't Get Enough.mid,synthpop_data/processed/drums_all/Depeche_Mode__Just_Can't_Get_Enough.mid,1,1377,4,130.00013000013,259.4997405
Depeche Mode,Master and Servant.1.mid,data/clean_midi/Depeche Mode/Master and Servant.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Master_and_Servant.1.mid,1,1180,4,126.000126000126,216.66248175
Depeche Mode,Master and Servant.2.mid,data/clean_midi/Depeche Mode/Master and Servant.2.mid,synthpop_data/processed/drums_all/Depeche_Mode__Master_and_Servant.2.mid,1,1924,16,126.00012600012602,221.79789328124997
Depeche Mode,Master and Servant.mid,data/clean_midi/Depeche Mode/Master and Servant.mid,synthpop_data/processed/drums_all/Depeche_Mode__Master_and_Servant.mid,1,1180,4,126.00012600012602,216.66148968749997
Depeche Mode,Never Let Me Down Again.mid,data/clean_midi/Depeche Mode/Never Let Me Down Again.mid,synthpop_data/processed/drums_all/Depeche_Mode__Never_Let_Me_Down_Again.mid,5,3107,5,109.00014170018424,281.83449599999994
Depeche Mode,New Life (remix).mid,data/clean_midi/Depeche Mode/New Life (remix).mid,synthpop_data/processed/drums_all/Depeche_Mode__New_Life_(remix).mid,1,3636,6,159.0002067002687,239.056293
Depeche Mode,New Life.mid,data/clean_midi/Depeche Mode/New Life.mid,synthpop_data/processed/drums_all/Depeche_Mode__New_Life.mid,1,3152,6,159.0002067002687,223.584615
Depeche Mode,No Disco.mid,data/clean_midi/Depeche Mode/No Disco.mid,synthpop_data/processed/drums_all/Depeche_Mode__No_Disco.mid,1,765,3,123.00022140039852,256.584904
Depeche Mode,People Are People.mid,data/clean_midi/Depeche Mode/People Are People.mid,synthpop_data/processed/drums_all/Depeche_Mode__People_Are_People.mid,1,990,5,120.0,230.0
Depeche Mode,Personal Jesus.mid,data/clean_midi/Depeche Mode/Personal Jesus.mid,synthpop_data/processed/drums_all/Depeche_Mode__Personal_Jesus.mid,1,4260,16,135.06668917778154,204.3435
Depeche Mode,Photographic.1.mid,data/clean_midi/Depeche Mode/Photographic.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Photographic.1.mid,4,1696,4,120.0,256.0
Depeche Mode,Photographic.2.mid,data/clean_midi/Depeche Mode/Photographic.2.mid,synthpop_data/processed/drums_all/Depeche_Mode__Photographic.2.mid,2,856,2,155.00271254746957,278.70480000000003
Depeche Mode,Photographic.3.mid,data/clean_midi/Depeche Mode/Photographic.3.mid,synthpop_data/processed/drums_all/Depeche_Mode__Photographic.3.mid,1,856,2,146.00032120070665,266.3281812
Depeche Mode,Photographic.mid,data/clean_midi/Depeche Mode/Photographic.mid,synthpop_data/processed/drums_all/Depeche_Mode__Photographic.mid,1,824,2,150.0,286.5
Depeche Mode,Pipeline.mid,data/clean_midi/Depeche Mode/Pipeline.mid,synthpop_data/processed/drums_all/Depeche_Mode__Pipeline.mid,3,504,4,80.0,209.8125
Depeche Mode,Policy of Truth.1.mid,data/clean_midi/Depeche Mode/Policy of Truth.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Policy_of_Truth.1.mid,1,308,2,110.00011000011,192.999807
Depeche Mode,Policy of Truth.mid,data/clean_midi/Depeche Mode/Policy of Truth.mid,synthpop_data/processed/drums_all/Depeche_Mode__Policy_of_Truth.mid,1,1748,6,120.0,233.97916666666663
Depeche Mode,Puppets.1.mid,data/clean_midi/Depeche Mode/Puppets.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Puppets.1.mid,2,1120,4,120.0,251.70833333333337
Depeche Mode,Puppets.mid,data/clean_midi/Depeche Mode/Puppets.mid,synthpop_data/processed/drums_all/Depeche_Mode__Puppets.mid,1,1908,6,120.0,216.51302083333331
Depeche Mode,Shake the Disease.1.mid,data/clean_midi/Depeche Mode/Shake the Disease.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Shake_the_Disease.1.mid,1,1529,4,120.0,261.99583333333334
Depeche Mode,Shout (Rio mix).mid,data/clean_midi/Depeche Mode/Shout (Rio mix).mid,synthpop_data/processed/drums_all/Depeche_Mode__Shout_(Rio_mix).mid,1,5766,10,118.500026662506,453.1433579583333
Depeche Mode,Shout.mid,data/clean_midi/Depeche Mode/Shout.mid,synthpop_data/processed/drums_all/Depeche_Mode__Shout.mid,1,3007,9,118.500026662506,226.835392
Depeche Mode,Strange Love.1.mid,data/clean_midi/Depeche Mode/Strange Love.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Strange_Love.1.mid,4,1033,4,120.0,171.48958333333331
Depeche Mode,Strange Love.mid,data/clean_midi/Depeche Mode/Strange Love.mid,synthpop_data/processed/drums_all/Depeche_Mode__Strange_Love.mid,1,1033,4,120.0,173.48958333333331
Depeche Mode,Strangelove.1.mid,data/clean_midi/Depeche Mode/Strangelove.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Strangelove.1.mid,4,1033,4,120.0,171.48958333333331
Depeche Mode,Strangelove.mid,data/clean_midi/Depeche Mode/Strangelove.mid,synthpop_data/processed/drums_all/Depeche_Mode__Strangelove.mid,1,1033,4,120.0,171.48958333333331
Depeche Mode,The Things You Said.1.mid,data/clean_midi/Depeche Mode/The Things You Said.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__The_Things_You_Said.1.mid,1,677,3,110.00011000011,175.3543701
Depeche Mode,The Things You Said.mid,data/clean_midi/Depeche Mode/The Things You Said.mid,synthpop_data/processed/drums_all/Depeche_Mode__The_Things_You_Said.mid,2,596,3,115.0000287500072,185.543431875
Depeche Mode,Tora! Tora! Tora!.1.mid,data/clean_midi/Depeche Mode/Tora! Tora! Tora!.1.mid,synthpop_data/processed/drums_all/Depeche_Mode__Tora!_Tora!_Tora!.1.mid,1,3887,13,118.00013373348489,275.7200265
Depeche Mode,Walking in My Shoes.mid,data/clean_midi/Depeche Mode/Walking in My Shoes.mid,synthpop_data/processed/drums_all/Depeche_Mode__Walking_in_My_Shoes.mid,1,3557,8,94.00115934763195,315.5812141666667
Duran Duran,A View To A Kill.1.mid,data/clean_midi/Duran Duran/A View To A Kill.1.mid,synthpop_data/processed/drums_all/Duran_Duran__A_View_To_A_Kill.1.mid,3,1148,12,126.99998518333504,220.6555375541667
Duran Duran,A View To A Kill.2.mid,data/clean_midi/Duran Duran/A View To A Kill.2.mid,synthpop_data/processed/drums_all/Duran_Duran__A_View_To_A_Kill.2.mid,1,1148,12,126.99003974788243,220.67281855833335
Duran Duran,A View To A Kill.3.mid,data/clean_midi/Duran Duran/A View To A Kill.3.mid,synthpop_data/processed/drums_all/Duran_Duran__A_View_To_A_Kill.3.mid,3,1148,12,126.99998518333504,220.6555375541667
Duran Duran,A View To A Kill.mid,data/clean_midi/Duran Duran/A View To A Kill.mid,synthpop_data/processed/drums_all/Duran_Duran__A_View_To_A_Kill.mid,1,1148,12,126.99003974788243,220.67281855833335
Duran Duran,Come Undone.2.mid,data/clean_midi/Duran Duran/Come Undone.2.mid,synthpop_data/processed/drums_all/Duran_Duran__Come_Undone.2.mid,1,2463,9,100.05002501250624,220.6896
Duran Duran,Come Undone.3.mid,data/clean_midi/Duran Duran/Come Undone.3.mid,synthpop_data/processed/drums_all/Duran_Duran__Come_Undone.3.mid,1,2463,9,100.05002501250624,220.6896
Duran Duran,Come Undone.4.mid,data/clean_midi/Duran Duran/Come Undone.4.mid,synthpop_data/processed/drums_all/Duran_Duran__Come_Undone.4.mid,1,2467,9,100.05002501250624,218.2908
Duran Duran,Come Undone.5.mid,data/clean_midi/Duran Duran/Come Undone.5.mid,synthpop_data/processed/drums_all/Duran_Duran__Come_Undone.5.mid,1,2467,9,100.04935768312367,218.292256
Duran Duran,Come Undone.mid,data/clean_midi/Duran Duran/Come Undone.mid,synthpop_data/processed/drums_all/Duran_Duran__Come_Undone.mid,1,4074,10,87.00065250489381,282.92891249999997
Duran Duran,Downtown.mid,data/clean_midi/Duran Duran/Downtown.mid,synthpop_data/processed/drums_all/Duran_Duran__Downtown.mid,1,1835,10,120.0,196.13802083333331
Duran Duran,Girls On Film.mid,data/clean_midi/Duran Duran/Girls On Film.mid,synthpop_data/processed/drums_all/Duran_Duran__Girls_On_Film.mid,3,2300,11,132.20023046906846,214.0786736875
Duran Duran,Girls on Film.1.mid,data/clean_midi/Duran Duran/Girls on Film.1.mid,synthpop_data/processed/drums_all/Duran_Duran__Girls_on_Film.1.mid,1,1857,12,105.00157502362536,285.9123779166667
Duran Duran,Hungry Like The Wolf (Night Version).mid,data/clean_midi/Duran Duran/Hungry Like The Wolf (Night Version).mid,synthpop_data/processed/drums_all/Duran_Duran__Hungry_Like_The_Wolf_(Night_Version).mid,1,1210,7,134.00005806669182,204.26483685833333
Duran Duran,Hungry Like a Wolf.1.mid,data/clean_midi/Duran Duran/Hungry Like a Wolf.1.mid,synthpop_data/processed/drums_all/Duran_Duran__Hungry_Like_a_Wolf.1.mid,1,1646,9,120.0,200.0
Duran Duran,Hungry Like a Wolf.mid,data/clean_midi/Duran Duran/Hungry Like a Wolf.mid,synthpop_data/processed/drums_all/Duran_Duran__Hungry_Like_a_Wolf.mid,1,1646,9,120.0,200.0
Duran Duran,New Moon on Monday.1.mid,data/clean_midi/Duran Duran/New Moon on Monday.1.mid,synthpop_data/processed/drums_all/Duran_Duran__New_Moon_on_Monday.1.mid,3,2524,11,120.0,264.00416666666666
Duran Duran,New Moon on Monday.mid,data/clean_midi/Duran Duran/New Moon on Monday.mid,synthpop_data/processed/drums_all/Duran_Duran__New_Moon_on_Monday.mid,3,2524,11,120.0,264.00416666666666
Duran Duran,Notorious.1.mid,data/clean_midi/Duran Duran/Notorious.1.mid,synthpop_data/processed/drums_all/Duran_Duran__Notorious.1.mid,2,2146,9,107.00012661681652,236.53593505208332
Duran Duran,Notorious.2.mid,data/clean_midi/Duran Duran/Notorious.2.mid,synthpop_data/processed/drums_all/Duran_Duran__Notorious.2.mid,1,2145,9,107.00012661681652,238.77892305208331
Duran Duran,Notorious.mid,data/clean_midi/Duran Duran/Notorious.mid,synthpop_data/processed/drums_all/Duran_Duran__Notorious.mid,1,2146,9,107.00146235331884,238.7759422916667
Duran Duran,Notorius.mid,data/clean_midi/Duran Duran/Notorius.mid,synthpop_data/processed/drums_all/Duran_Duran__Notorius.mid,1,2145,9,107.00012661681652,238.77892305208331
Duran Duran,Ordinary World.2.mid,data/clean_midi/Duran Duran/Ordinary World.2.mid,synthpop_data/processed/drums_all/Duran_Duran__Ordinary_World.2.mid,1,1413,11,70.00023333411112,301.71328
Duran Duran,Ordinary World.mid,data/clean_midi/Duran Duran/Ordinary World.mid,synthpop_data/processed/drums_all/Duran_Duran__Ordinary_World.mid,1,1732,13,138.000828004968,262.2878284375
Duran Duran,Rio.1.mid,data/clean_midi/Duran Duran/Rio.1.mid,synthpop_data/processed/drums_all/Duran_Duran__Rio.1.mid,6,3303,8,131.00007641671124,304.13150197916667
Duran Duran,Rio.mid,data/clean_midi/Duran Duran/Rio.mid,synthpop_data/processed/drums_all/Duran_Duran__Rio.mid,6,3303,8,131.00007641671124,304.13150197916667
Duran Duran,Save a Prayer.1.mid,data/clean_midi/Duran Duran/Save a Prayer.1.mid,synthpop_data/processed/drums_all/Duran_Duran__Save_a_Prayer.1.mid,2,1883,7,113.00009605008168,335.6634315
Duran Duran,Save a Prayer.mid,data/clean_midi/Duran Duran/Save a Prayer.mid,synthpop_data/processed/drums_all/Duran_Duran__Save_a_Prayer.mid,1,1883,7,113.00009605008168,335.6634315
Duran Duran,The Chauffeur.1.mid,data/clean_midi/Duran Duran/The Chauffeur.1.mid,synthpop_data/processed/drums_all/Duran_Duran__The_Chauffeur.1.mid,1,2455,16,82.00003553334875,321.69498254999996
Duran Duran,The Chauffeur.mid,data/clean_midi/Duran Duran/The Chauffeur.mid,synthpop_data/processed/drums_all/Duran_Duran__The_Chauffeur.mid,1,1601,13,89.99995500002248,202.666768
Duran Duran,The Reflex.1.mid,data/clean_midi/Duran Duran/The Reflex.1.mid,synthpop_data/processed/drums_all/Duran_Duran__The_Reflex.1.mid,1,3512,13,122.99996925000768,277.45332139583337
Duran Duran,The Reflex.2.mid,data/clean_midi/Duran Duran/The Reflex.2.mid,synthpop_data/processed/drums_all/Duran_Duran__The_Reflex.2.mid,1,3512,13,122.99996925000768,277.45332139583337
Duran Duran,The Reflex.mid,data/clean_midi/Duran Duran/The Reflex.mid,synthpop_data/processed/drums_all/Duran_Duran__The_Reflex.mid,1,3512,13,123.00022140039852,277.45275261666666
Duran Duran,The Wild Boys.1.mid,data/clean_midi/Duran Duran/The Wild Boys.1.mid,synthpop_data/processed/drums_all/Duran_Duran__The_Wild_Boys.1.mid,1,2998,7,116.99988885010558,241.41048575
Duran Duran,The Wild Boys.mid,data/clean_midi/Duran Duran/The Wild Boys.mid,synthpop_data/processed/drums_all/Duran_Duran__The_Wild_Boys.mid,1,2998,7,116.99988885010558,241.41048575
Duran Duran,Union of the Snake.1.mid,data/clean_midi/Duran Duran/Union of the Snake.1.mid,synthpop_data/processed/drums_all/Duran_Duran__Union_of_the_Snake.1.mid,1,2713,12,107.5000143750036,263.03471700000006
Duran Duran,Union of the Snake.mid,data/clean_midi/Duran Duran/Union of the Snake.mid,synthpop_data/processed/drums_all/Duran_Duran__Union_of_the_Snake.mid,1,2713,12,117.5000143750036,262.93471700000003
Erasure,A Little Respect.1.mid,data/clean_midi/Erasure/A Little Respect.1.mid,synthpop_data/processed/drums_all/Erasure__A_Little_Respect.1.mid,4,1267,9,113.99995440001828,210.52639999999997
Erasure,A Little Respect.2.mid,data/clean_midi/Erasure/A Little Respect.2.mid,synthpop_data/processed/drums_all/Erasure__A_Little_Respect.2.mid,1,1267,9,114.00125401379417,212.62924
Erasure,A Little Respect.3.mid,data/clean_midi/Erasure/A Little Respect.3.mid,synthpop_data/processed/drums_all/Erasure__A_Little_Respect.3.mid,1,1267,9,114.00017100025649,210.526
Erasure,A Little Respect.4.mid,data/clean_midi/Erasure/A Little Respect.4.mid,synthpop_data/processed/drums_all/Erasure__A_Little_Respect.4.mid,4,1267,9,114.00017100025649,210.526
Erasure,A Little Respect.mid,data/clean_midi/Erasure/A Little Respect.mid,synthpop_data/processed/drums_all/Erasure__A_Little_Respect.mid,4,1267,9,114.00017100025649,210.526
Erasure,Abba-Esque (Take a Chance On Me).mid,data/clean_midi/Erasure/Abba-Esque (Take a Chance On Me).mid,synthpop_data/processed/drums_all/Erasure__Abba-Esque_(Take_a_Chance_On_Me).mid,1,4603,11,122.00180562672328,252.562860375
Erasure,Always.1.mid,data/clean_midi/Erasure/Always.1.mid,synthpop_data/processed/drums_all/Erasure__Always.1.mid,4,1599,11,104.00001386666852,238.846122
Erasure,Always.2.mid,data/clean_midi/Erasure/Always.2.mid,synthpop_data/processed/drums_all/Erasure__Always.2.mid,4,1599,11,104.00001386666852,238.846122
Erasure,Always.3.mid,data/clean_midi/Erasure/Always.3.mid,synthpop_data/processed/drums_all/Erasure__Always.3.mid,1,1599,11,104.00001386666852,238.846122
Erasure,Always.mid,data/clean_midi/Erasure/Always.mid,synthpop_data/processed/drums_all/Erasure__Always.mid,1,2084,9,103.00075533887248,229.440065
Erasure,Blue Savannah.1.mid,data/clean_midi/Erasure/Blue Savannah.1.mid,synthpop_data/processed/drums_all/Erasure__Blue_Savannah.1.mid,5,2693,8,135.000135000135,229.3812521
Erasure,Blue Savannah.2.mid,data/clean_midi/Erasure/Blue Savannah.2.mid,synthpop_data/processed/drums_all/Erasure__Blue_Savannah.2.mid,1,2693,8,135.00135001350014,231.1550958333333
Erasure,Blue Savannah.mid,data/clean_midi/Erasure/Blue Savannah.mid,synthpop_data/processed/drums_all/Erasure__Blue_Savannah.mid,5,2693,8,135.000135000135,229.3812521
Erasure,Breath of Life.1.mid,data/clean_midi/Erasure/Breath of Life.1.mid,synthpop_data/processed/drums_all/Erasure__Breath_of_Life.1.mid,1,2392,15,132.9999468000213,234.567763
Erasure,Breath of Life.2.mid,data/clean_midi/Erasure/Breath of Life.2.mid,synthpop_data/processed/drums_all/Erasure__Breath_of_Life.2.mid,1,2392,15,132.9999468000213,234.567763
Erasure,Breath of Life.mid,data/clean_midi/Erasure/Breath of Life.mid,synthpop_data/processed/drums_all/Erasure__Breath_of_Life.mid,1,205,5,132.000132000132,245.908845
Erasure,Chains of Love.1.mid,data/clean_midi/Erasure/Chains of Love.1.mid,synthpop_data/processed/drums_all/Erasure__Chains_of_Love.1.mid,4,1520,8,105.50012140014206,234.11759710000004
Erasure,Chains of Love.2.mid,data/clean_midi/Erasure/Chains of Love.2.mid,synthpop_data/processed/drums_all/Erasure__Chains_of_Love.2.mid,4,1520,8,105.50012140014206,232.1503851
Erasure,Chains of Love.3.mid,data/clean_midi/Erasure/Chains of Love.3.mid,synthpop_data/processed/drums_all/Erasure__Chains_of_Love.3.mid,1,1520,8,105.50151185504536,234.11512083333335
Erasure,Chains of Love.mid,data/clean_midi/Erasure/Chains of Love.mid,synthpop_data/processed/drums_all/Erasure__Chains_of_Love.mid,1,1520,8,105.50012140014206,234.11759710000004
Erasure,Fingers & Thumbs (Cold Summer's Day).1.mid,data/clean_midi/Erasure/Fingers & Thumbs (Cold Summer's Day).1.mid,synthpop_data/processed/drums_all/Erasure__Fingers_&_Thumbs_(Cold_Summer's_Day).1.mid,6,3281,11,125.0,299.75600000000003
Erasure,Fingers & Thumbs (Cold Summer's Day).mid,data/clean_midi/Erasure/Fingers & Thumbs (Cold Summer's Day).mid,synthpop_data/processed/drums_all/Erasure__Fingers_&_Thumbs_(Cold_Summer's_Day).mid,6,3281,11,125.0,299.75600000000003
Erasure,Glass Angel.mid,data/clean_midi/Erasure/Glass Angel.mid,synthpop_data/processed/drums_all/Erasure__Glass_Angel.mid,5,2925,11,120.0,248.0
Erasure,Home.1.mid,data/clean_midi/Erasure/Home.1.mid,synthpop_data/processed/drums_all/Erasure__Home.1.mid,4,1033,8,107.5000143750036,252.83472000000003
Erasure,Home.mid,data/clean_midi/Erasure/Home.mid,synthpop_data/processed/drums_all/Erasure__Home.mid,4,1033,8,107.5000143750036,252.83472000000003
Erasure,I Love Saturday.mid,data/clean_midi/Erasure/I Love Saturday.mid,synthpop_data/processed/drums_all/Erasure__I_Love_Saturday.mid,4,2673,17,130.00013000013,236.3305329
Erasure,Magic Moments.1.mid,data/clean_midi/Erasure/Magic Moments.1.mid,synthpop_data/processed/drums_all/Erasure__Magic_Moments.1.mid,3,1090,3,156.00015600015604,156.06715162499998
Erasure,Magic Moments.mid,data/clean_midi/Erasure/Magic Moments.mid,synthpop_data/processed/drums_all/Erasure__Magic_Moments.mid,3,1090,3,156.00015600015604,156.06715162499998
Erasure,Man in the Moon.1.mid,data/clean_midi/Erasure/Man in the Moon.1.mid,synthpop_data/processed/drums_all/Erasure__Man_in_the_Moon.1.mid,4,1012,9,118.00013373348489,240.24972771666668
Erasure,Man in the Moon.mid,data/clean_midi/Erasure/Man in the Moon.mid,synthpop_data/processed/drums_all/Erasure__Man_in_the_Moon.mid,4,1012,9,118.00013373348489,240.24972771666668
Erasure,Miracle.mid,data/clean_midi/Erasure/Miracle.mid,synthpop_data/processed/drums_all/Erasure__Miracle.mid,3,1910,8,120.0,256.49583333333334
Erasure,Oh L'Amour.mid,data/clean_midi/Erasure/Oh L'Amour.mid,synthpop_data/processed/drums_all/Erasure__Oh_L'Amour.mid,5,2133,14,82.00003553334875,183.579046375
Erasure,Oh Lamour.mid,data/clean_midi/Erasure/Oh Lamour.mid,synthpop_data/processed/drums_all/Erasure__Oh_Lamour.mid,5,2133,14,82.00003553334875,183.579046375
Erasure,Siren Song.mid,data/clean_midi/Erasure/Siren Song.mid,synthpop_data/processed/drums_all/Erasure__Siren_Song.mid,6,1602,6,92.00012880018032,281.89634447500003
Erasure,So the Story Goes.mid,data/clean_midi/Erasure/So the Story Goes.mid,synthpop_data/processed/drums_all/Erasure__So_the_Story_Goes.mid,7,1802,8,97.5000975000975,234.47873423333337
