artist,song,bpm,has_drums,n_drum_notes,n_total_tracks
Depeche Mode,Somebody.2.mid,77.40007972208211,False,0,2
Depeche Mode,Somebody.3.mid,77.40007972208211,False,0,2
Depeche Mode,Somebody.mid,90.00009000009,False,0,2
Depeche Mode,Strange Love.1.mid,120.0,True,1033,7
Depeche Mode,Strange Love.mid,120.0,True,1033,4
Depeche Mode,Strangelove.1.mid,120.0,True,1033,7
Depeche Mode,Strangelove.mid,120.0,True,1033,4
Depeche Mode,The Things You Said.1.mid,110.00011000011,True,677,4
Depeche Mode,The Things You Said.mid,115.0000287500072,True,596,6
Depeche Mode,Tora! Tora! Tora!.1.mid,118.00013373348487,True,3887,15
Depeche Mode,Tora! Tora! Tora!.mid,125.0,False,0,7
Depeche Mode,Walking in My Shoes.mid,94.00115934763195,True,3557,14
Duran Duran,A View To A Kill.1.mid,126.99998518333504,True,1148,16
Duran Duran,A View To A Kill.2.mid,126.99003974788243,True,1148,19
Duran Duran,A View To A Kill.3.mid,126.99998518333504,True,1148,16
Duran Duran,A View To A Kill.mid,126.99003974788243,True,1148,19
Duran Duran,Come Undone.1.mid,85.00004500004499,False,0,5
Duran Duran,Come Undone.2.mid,100.05002501250625,True,2463,9
Duran Duran,Come Undone.3.mid,100.05002501250625,True,2463,9
Duran Duran,Come Undone.4.mid,100.05002501250625,True,2467,10
Duran Duran,Come Undone.5.mid,100.04935768312367,True,2467,9
Duran Duran,Come Undone.mid,87.00065250489381,True,4074,13
Duran Duran,Downtown.mid,120.0,True,1835,8
Duran Duran,Girls On Film.mid,132.20023046906846,True,2300,9
Duran Duran,Girls on Film.1.mid,105.00157502362535,True,1857,8
Duran Duran,Hungry Like The Wolf (Night Version).mid,134.00005806669182,True,1210,9
Duran Duran,Hungry Like a Wolf.1.mid,120.0,True,1646,9
Duran Duran,Hungry Like a Wolf.mid,120.0,True,1646,9
Duran Duran,New Moon on Monday.1.mid,120.0,True,2524,16
Duran Duran,New Moon on Monday.mid,120.0,True,2524,16
Duran Duran,Notorious.1.mid,107.00012661681652,True,2146,10
Duran Duran,Notorious.2.mid,107.00012661681652,True,2145,9
Duran Duran,Notorious.mid,107.00146235331883,True,2146,9
Duran Duran,Notorius.mid,107.00012661681652,True,2145,7
Duran Duran,Ordinary World.1.mid,69.99998833333528,True,1413,11
Duran Duran,Ordinary World.2.mid,70.00023333411112,True,1413,11
Duran Duran,Ordinary World.3.mid,69.99998833333528,True,1413,11
Duran Duran,Ordinary World.mid,138.000828004968,True,1732,6
Duran Duran,Rio.1.mid,131.00007641671124,True,3303,16
Duran Duran,Rio.mid,131.00007641671124,True,3303,16
Duran Duran,Save a Prayer.1.mid,113.00009605008167,True,1883,8
Duran Duran,Save a Prayer.mid,113.00009605008167,True,1883,7
Duran Duran,The Chauffeur.1.mid,82.00003553334875,True,2455,17
Duran Duran,The Chauffeur.mid,89.99995500002248,True,1601,5
Duran Duran,The Reflex.1.mid,122.99996925000767,True,3512,14
Duran Duran,The Reflex.2.mid,122.99996925000767,True,3512,14
Duran Duran,The Reflex.mid,123.00022140039853,True,3512,14
Duran Duran,The Wild Boys.1.mid,116.99988885010558,True,2998,11
Duran Duran,The Wild Boys.mid,116.99988885010558,True,2998,11
Duran Duran,Union of the Snake.1.mid,107.50001437500359,True,2713,13
Duran Duran,Union of the Snake.mid,117.50001437500359,True,2713,13
Duran Duran,"Wild Boys, Relax.1.mid",117.99990166674861,True,8,12
Duran Duran,"Wild Boys, Relax.mid",117.99990166674861,True,8,12
Erasure,A Little Respect.1.mid,113.99995440001827,True,1267,14
Erasure,A Little Respect.2.mid,114.00125401379417,True,1267,11
Erasure,A Little Respect.3.mid,114.00017100025649,True,1267,11
Erasure,A Little Respect.4.mid,114.00017100025649,True,1267,14
Erasure,A Little Respect.mid,114.00017100025649,True,1267,14
Erasure,Abba-Esque (Take a Chance On Me).mid,122.00180562672327,True,4603,8
Erasure,Always.1.mid,104.00001386666852,True,1599,17
Erasure,Always.2.mid,104.00001386666852,True,1599,17
Erasure,Always.3.mid,104.00001386666852,True,1599,13
Erasure,Always.mid,103.00075533887248,True,2084,14
Erasure,Blue Savannah.1.mid,135.000135000135,True,2693,16
Erasure,Blue Savannah.2.mid,135.00135001350014,True,2693,12
Erasure,Blue Savannah.mid,135.000135000135,True,2693,16
Erasure,Breath of Life.1.mid,132.9999468000213,True,2392,14
Erasure,Breath of Life.2.mid,132.9999468000213,True,2392,14
Erasure,Breath of Life.mid,132.000132000132,True,205,14
Erasure,Chains of Love.1.mid,105.50012140014206,True,1520,16
Erasure,Chains of Love.2.mid,105.50012140014206,True,1520,16
Erasure,Chains of Love.3.mid,105.50151185504536,True,1520,13
Erasure,Chains of Love.mid,105.50012140014206,True,1520,13
Erasure,Fingers & Thumbs (Cold Summer's Day).1.mid,125.0,True,3281,21
Erasure,Fingers & Thumbs (Cold Summer's Day).mid,125.0,True,3281,21
Erasure,Glass Angel.mid,120.0,True,2925,22
Erasure,Home.1.mid,107.50001437500359,True,1033,24
Erasure,Home.mid,107.50001437500359,True,1033,24
Erasure,I Love Saturday.mid,130.00013000013,True,2673,15
Erasure,Magic Moments.1.mid,156.00015600015604,True,1090,17
Erasure,Magic Moments.mid,156.00015600015604,True,1090,17
Erasure,Man in the Moon.1.mid,118.00013373348487,True,1012,14
Erasure,Man in the Moon.mid,118.00013373348487,True,1012,14
Erasure,Miracle.mid,120.0,True,1910,22
Erasure,Oh L'Amour.mid,82.00003553334875,True,2133,16
Erasure,Oh Lamour.mid,82.00003553334875,True,2133,16
Erasure,Siren Song.mid,92.00012880018032,True,1602,24
Erasure,So the Story Goes.mid,97.5000975000975,True,1802,24
Erasure,Sometimes (12'' mix).mid,130.00013000013,True,3158,13
Erasure,Sometimes.mid,108.000108000108,True,1881,21
Erasure,Star.mid,123.00022140039853,True,2025,20
Erasure,Stop!.1.mid,120.0,True,1805,16
Erasure,Stop!.mid,120.0,True,1805,16
Erasure,Take Me Back.1.mid,83.00032168874807,True,1381,12
Erasure,Take Me Back.mid,81.50005826671487,True,1381,17
Eurythmics,1984.mid,136.0001450668214,True,1439,8
Eurythmics,Don't Ask Me Why.mid,118.0010620095581,True,2982,13
Eurythmics,Here Comes the Rain Again.1.mid,126.00012600012602,True,3552,14
Eurythmics,Here Comes the Rain Again.2.mid,126.00012600012602,True,3141,15
Eurythmics,Here Comes the Rain Again.3.mid,126.00012600012599,True,3141,15
Eurythmics,Here Comes the Rain Again.4.mid,126.00012600012602,True,3552,14
Eurythmics,Here Comes the Rain Again.mid,126.00012600012602,True,3552,14
Eurythmics,I Saved the World Today.mid,120.0,True,3660,15
Eurythmics,It's Alright (Baby's Coming Back).mid,96.0,True,1858,15
Eurythmics,Love Is a Stranger.1.mid,124.000248000496,True,2483,13
Eurythmics,Love Is a Stranger.mid,106.00013780017916,True,2841,10
Eurythmics,Missionary Man.mid,123.00123001230013,True,1487,11
Eurythmics,Right by Your Side.mid,85.00004250002125,True,1196,8
Eurythmics,Sisters Are Doing It for Themselves.mid,135.00135001350014,True,2494,12
Eurythmics,Sweet Dreams.1.mid,124.000248000496,True,1181,13
Eurythmics,Sweet Dreams.2.mid,123.99999173333387,True,1181,13
Eurythmics,Sweet Dreams.3.mid,120.01008084679113,True,951,13
Eurythmics,Sweet Dreams.mid,126.00012600012602,True,1341,10
Eurythmics,There Must Be an Angel (Playing With My Heart).1.mid,112.00089600716802,True,2698,14
Eurythmics,There Must Be an Angel (Playing With My Heart).2.mid,110.00011000011,True,2333,15
Eurythmics,There Must Be an Angel (Playing With My Heart).mid,110.00011000011,True,2333,10
Eurythmics,Who's That Girl.1.mid,120.0,True,1155,9
Eurythmics,Would I Lie To You?.1.mid,132.00158401900822,True,2272,14
Eurythmics,Would I Lie To You?.mid,132.000132000132,True,2272,13
Frankie Goes to Hollywood,Relax (Frankie Goes to Dreamscape).1.mid,122.00180562672327,True,1849,20
Frankie Goes to Hollywood,Relax (Frankie Goes to Dreamscape).mid,122.00180562672327,True,1849,20
Frankie Goes to Hollywood,Relax.1.mid,117.00011700011699,True,1335,20
Frankie Goes to Hollywood,Relax.2.mid,113.99995440001824,True,2950,21
Frankie Goes to Hollywood,Relax.3.mid,121.00189569636592,True,2715,12
Frankie Goes to Hollywood,Relax.4.mid,115.00201253521936,True,2801,19
Frankie Goes to Hollywood,Relax.mid,116.00030933415822,True,2090,16
Frankie Goes to Hollywood,The Power of Love.1.mid,62.000124000248,True,1339,9
Frankie Goes to Hollywood,The Power of Love.mid,94.99950417369088,True,739,11
Garbage,Hammering in My Head.mid,145.00003625000906,True,3601,13
Garbage,I Think I'm Paranoid.mid,115.0000287500072,True,3231,13
Garbage,I'm Only Happy When It Rains.mid,108.000108000108,True,3,4
Garbage,Medication.mid,82.49999286668933,True,3434,10
Garbage,Milk.mid,94.00012846684224,True,712,5
Garbage,No. 1 Crush.mid,93.99998120000376,True,4049,17
Garbage,Not My Idea.mid,100.0,True,1503,8
Garbage,Only Happy When It Rains.1.mid,120.0,True,4744,14
Garbage,Only Happy When It Rains.mid,108.000108000108,True,3,4
Garbage,Push It.1.mid,123.99999173333387,True,3905,16
Garbage,Push It.mid,123.99999173333387,True,3905,16
Garbage,Queer.1.mid,100.0,True,2676,7
Garbage,Queer.mid,90.00009000009,True,1832,12
Garbage,Sleep Together.mid,130.00013000013,True,4729,14
Garbage,Special.1.mid,140.00014000014,True,2842,7
Garbage,Special.mid,140.00014000014,True,2842,7
Garbage,Stupid Girl.1.mid,120.0,True,3597,9
Garbage,Stupid Girl.2.mid,120.0,True,3597,9
Garbage,Stupid Girl.mid,120.0,True,3597,9
Garbage,Temptation Waits.mid,125.0,True,6640,14
Garbage,The World Is Not Enough.mid,86.00005160003096,True,1696,14
Garbage,Vow.mid,123.000063000063,False,0,9
Garbage,When I Grow Up.mid,130.00013000013,True,4304,16
Garbage,You Look So Fine.mid,100.0,True,7440,10
Howard Jones,Everlasting Love.mid,120.0,True,1805,16
Howard Jones,Life in One Day.mid,112.00005973336519,True,3982,12
Howard Jones,Things Can Only Get Better.1.mid,124.00024800102562,True,4226,11
Howard Jones,Things Can Only Get Better.mid,112.00089600716802,True,1754,11
INXS,Bitter Tears.mid,120.0,True,3039,12
INXS,Disappear.mid,120.0,True,2703,12
INXS,Need You Tonight.mid,120.0,True,1608,11
INXS,Never Tear Us Apart.1.mid,120.0,True,1139,15
INXS,Never Tear Us Apart.mid,64.0,True,1101,11
INXS,New Sensation.mid,113.00073450477427,True,2397,15
INXS,Not Enough Time.mid,96.0,True,3428,11
INXS,Taste It.mid,114.50327693459647,True,2859,15
INXS,The Swing.1.mid,122.99996925000767,True,1301,5
INXS,The Swing.mid,123.00022140039852,True,1301,5
INXS,What You Need.1.mid,123.99999173333387,True,16,6
INXS,What You Need.2.mid,124.000248000496,True,1115,6
INXS,What You Need.mid,123.99999173333387,True,16,6
New Order,Bizarre Love Triangle.1.mid,116.99988885010558,True,4354,30
New Order,Bizarre Love Triangle.mid,118.00013373348487,True,4354,27
New Order,Blue Monday.1.mid,133.00024161710562,True,4366,19
New Order,Blue Monday.2.mid,192.0,True,2413,13
New Order,Blue Monday.3.mid,133.00024161710562,True,4366,19
New Order,Blue Monday.mid,132.9999468000213,True,4366,20
New Order,True Faith.mid,122.00006913337249,True,2325,11
New Order,World.mid,123.500127000254,True,6090,16
OMD,Enola Gay (OMD vs. Sash radio edit).1.mid,142.0000710000355,True,1629,16
OMD,Enola Gay (OMD vs. Sash radio edit).mid,100.50001275000638,True,1428,13
Pet Shop Boys,Always on My Mind   In My House.1.mid,124.000248000496,True,4811,10
Pet Shop Boys,Always on My Mind   In My House.2.mid,121.00003456668625,True,4565,8
Pet Shop Boys,Always on My Mind   In My House.4.mid,125.0,True,7178,10
Pet Shop Boys,Always on My Mind   In My House.mid,114.00125401379417,True,3594,11
Pet Shop Boys,Always.mid,128.0,True,4984,6
Pet Shop Boys,Before.mid,124.000248000496,True,7443,10
Pet Shop Boys,Being Boring.mid,120.0,True,2878,10
Pet Shop Boys,Can You Forgive Her.mid,123.00022140039852,True,202,14
Pet Shop Boys,Domino Dancing.mid,110.00091667430561,True,3740,11
Pet Shop Boys,Go West.1.mid,115.0000287500072,True,4035,9
Pet Shop Boys,Go West.2.mid,120.0,True,2794,20
Pet Shop Boys,Go West.3.mid,115.00002875000717,True,4035,11
Pet Shop Boys,Go West.4.mid,115.00002875000717,True,4035,9
Pet Shop Boys,Go West.5.mid,120.0,True,3925,15
Pet Shop Boys,Go West.6.mid,120.0,True,4035,9
Pet Shop Boys,Go West.mid,120.0,True,5595,12
Pet Shop Boys,Heart.1.mid,126.00012600012602,True,4931,7
Pet Shop Boys,Heart.mid,126.00012600012599,True,4931,10
Pet Shop Boys,I Wouldnt Normally Do This Kind of Thing.mid,134.00005806669182,True,1663,8
Pet Shop Boys,It's Alright.mid,120.0,True,3043,11
Pet Shop Boys,It's a Sin.1.mid,127.500065000065,True,3231,22
Pet Shop Boys,It's a Sin.2.mid,163.500127000254,True,3307,17
Pet Shop Boys,It's a Sin.3.mid,128.0,True,2060,8
Pet Shop Boys,It's a Sin.4.mid,127.500065000065,True,3100,14
Pet Shop Boys,It's a Sin.mid,126.00012600012602,True,2932,8
Pet Shop Boys,Liberation.1.mid,107.00012661681652,True,3896,12
Pet Shop Boys,Liberation.mid,107.00146235331883,True,3896,12
Pet Shop Boys,One in a Million.1.mid,129.00007740004645,True,1791,8
Pet Shop Boys,One in a Million.2.mid,129.00007740004645,True,1791,8
Pet Shop Boys,One in a Million.mid,129.0017415235106,True,1791,7
Pet Shop Boys,Paninaro '95.1.mid,124.000248000496,True,5842,14
Pet Shop Boys,Paninaro '95.mid,124.000248000496,True,5836,14
Pet Shop Boys,Se a Vida E (That's the Way Life Is).1.mid,91.99998773333496,True,5584,10
Pet Shop Boys,Se a Vida E (That's the Way Life Is).mid,93.00004185001883,True,7018,18
Pet Shop Boys,So Hard.1.mid,124.000248000496,True,4619,10
Pet Shop Boys,So Hard.mid,124.000248000496,True,4619,12
Pet Shop Boys,West End Girls.1.mid,114.0001710002565,True,3141,7
Pet Shop Boys,West End Girls.2.mid,114.0001710002565,True,3141,8
Pet Shop Boys,West End Girls.3.mid,113.99995440001824,True,3141,8
Pet Shop Boys,West End Girls.4.mid,114.00125401379417,True,3137,10
Pet Shop Boys,West End Girls.mid,115.00201253521936,True,2567,14
Pet Shop Boys,What Have I Done to Deserve This.mid,114.00125401379417,True,3754,13
Pet Shop Boys,Where the Streets Have No Name.mid,127.00025400050801,True,3678,15
Robyn,Show Me Love.mid,91.99998773333496,True,1156,10
Simple Minds,Alive & Kicking.1.mid,103.00075533887248,True,2246,10
Simple Minds,Alive & Kicking.mid,103.0000480666891,True,2246,11
Simple Minds,Don't You (Forget About Me).1.mid,114.0001710002565,True,2138,12
Simple Minds,Don't You (Forget About Me).2.mid,114.00125401379417,True,1926,15
Simple Minds,Don't You (Forget About Me).3.mid,102.49999187501484,True,2763,12
Simple Minds,Don't You (Forget About Me).4.mid,114.0001710002565,True,1925,15
Simple Minds,Don't You (Forget About Me).mid,117.00008550012825,True,1925,15
Simple Minds,Mandela Day.1.mid,96.0,True,2328,11
Simple Minds,Mandela Day.mid,96.0,True,2328,11
Simple Minds,She's a River.1.mid,93.00004185001883,True,2265,13
Simple Minds,She's a River.mid,93.00018600037201,True,5025,13
Soft Cell,Something's Gotten Hold of My Heart.mid,90.0009000090001,True,990,8
Soft Cell,Tainted Love.1.mid,146.00742691111554,True,909,14
Soft Cell,Tainted Love.2.mid,140.00046666822223,True,1689,6
Soft Cell,Tainted Love.mid,144.00921658986175,True,2029,13
Spandau Ballet,Gold.1.mid,143.03082314238722,True,1810,13
Spandau Ballet,Gold.mid,143.00014300014297,True,1814,13
Spandau Ballet,True.1.mid,100.0,True,1419,23
Spandau Ballet,True.2.mid,99.99999999999999,True,1011,9
Spandau Ballet,True.3.mid,98.00270487465454,True,1598,9
Spandau Ballet,True.mid,99.99999999999999,True,1419,23
Talk Talk,It's My Life.mid,125.0,True,2334,15
Talk Talk,Such a Shame.mid,123.00123001230013,True,2647,9
Tears for Fears,Everybody Wants To Rule The World.1.mid,110.00011000011,True,1886,19
Tears for Fears,Everybody Wants To Rule The World.2.mid,109.99990833340972,True,1886,19
Tears for Fears,Everybody Wants To Rule The World.3.mid,111.00011100011099,True,2842,12
Tears for Fears,Everybody Wants To Rule The World.mid,110.00091667430561,True,1883,19
Tears for Fears,Head Over Heels.mid,101.00006901671382,True,921,8
Tears for Fears,Laid So Low (Tears Roll Down).mid,115.00201253521936,True,3949,9
Tears for Fears,Shout.1.mid,95.00014250021376,True,2510,17
Tears for Fears,Shout.2.mid,98.00014373354414,True,7082,12
Tears for Fears,Shout.3.mid,98.00078400627207,True,7082,12
Tears for Fears,Shout.4.mid,97.9999836666694,True,7081,12
Tears for Fears,Shout.5.mid,98.00014373354416,True,7081,12
Tears for Fears,Shout.mid,95.00014250021376,True,2510,17
Tears for Fears,Sowing the Seeds of Love.1.mid,143.50070471141632,True,2913,15
Tears for Fears,Sowing the Seeds of Love.mid,69.00001725000433,True,3197,15
The Cars,Bye Bye Love.mid,130.00013000013,True,1713,7
The Cars,Drive.1.mid,83.0000650167176,True,2457,10
The Cars,Drive.2.mid,82.99995020002989,True,2457,10
The Cars,Drive.3.mid,130.00013000013,True,2035,7
The Cars,Drive.4.mid,84.00008400008399,True,2748,8
The Cars,Drive.5.mid,83.0000650167176,True,2457,10
The Cars,Drive.mid,86.00054467011624,True,2457,10
The Cars,Good Times Roll.1.mid,109.00172586065946,True,1346,10
The Cars,Good Times Roll.mid,109.00014170018423,True,1346,10
The Cars,It's All I Can Do.mid,120.0,True,1591,7
The Cars,Just What I Needed.1.mid,130.00013000013,True,1158,9
The Cars,Just What I Needed.2.mid,130.00013000013,True,1158,9
The Cars,Just What I Needed.mid,130.0023833770286,True,1158,9
The Cars,Let's Go.1.mid,131.00007641671124,True,1674,9
The Cars,Let's Go.2.mid,131.00007641671124,True,1673,9
The Cars,Let's Go.3.mid,131.00007641671124,True,1673,9
The Cars,Let's Go.mid,131.0015065173249,True,1669,9
The Cars,My Best Friend's Girl.mid,120.0,True,1553,7
The Cars,Shake It Up.mid,151.00037750094376,True,2498,20
The Cars,Tonight She Comes.1.mid,162.000162000162,True,1798,4
The Cars,Tonight She Comes.mid,145.00003625000906,True,2053,8
The Cars,You Might Think.1.mid,137.99987580011177,True,4063,18
The Cars,You Might Think.2.mid,137.99987580011177,True,4063,19
The Cars,You Might Think.3.mid,138.000828004968,True,4063,18
The Cars,You Might Think.mid,138.00019320027047,True,4063,18
The Human League,Don't You Want Me.mid,118.0010620095581,True,2326,11
The Human League,Dont You Want Me.1.mid,,True,2524,17
The Human League,Dont You Want Me.mid,,True,2524,17
The Human League,Tell Me When.mid,120.0,True,4723,10
Thompson Twins,Doctor Doctor.mid,65.000065000065,True,1050,9
Thompson Twins,Hold Me Now.mid,179.4999718416812,True,2125,9
Ultravox,Vienna.mid,72.0000288000115,True,560,14
Visage,Fade to Gray.mid,115.00002875000717,True,1460,14
Visage,Fade to Grey.mid,112.00005973336519,True,1547,18
Wham!,Careless Whisper.1.mid,77.99997660000702,True,4006,12
Wham!,Careless Whisper.2.mid,78.00007800007802,True,4006,12
Wham!,Careless Whisper.mid,78.00007800007802,True,4006,12
Wham!,Everything She Wants.1.mid,115.0000287500072,True,2381,9
Wham!,Everything She Wants.mid,110.05502751375687,True,7163,7
Wham!,If You Were There.mid,127.00025400050801,True,1713,8
Wham!,Wake Me Up Before You Go Go.1.mid,162.000162000162,True,1501,15
Wham!,Wake Me Up Before You Go Go.mid,162.000162000162,True,1501,15
Yazoo,Don't Go.mid,128.0,True,3097,13
Yazoo,Situation.mid,92.00055200331204,True,3154,9
a-ha,Hunting High and Low.mid,100.0,True,1031,12
a-ha,Take On Me.2.mid,175.00007291669704,True,1462,13
a-ha,Take On Me.3.mid,175.00007291669704,True,1462,12
a-ha,Take On Me.4.mid,175.00007291669704,True,1462,13
a-ha,Take On Me.5.mid,165.000165000165,True,2003,15
a-ha,Take On Me.6.mid,155.00031000062,True,2294,9
a-ha,Take On Me.mid,175.00007291669706,True,2727,12
a-ha,The Living Daylights.1.mid,120.99994353335967,True,3602,22
a-ha,The Living Daylights.mid,120.99994353335968,True,3602,22
a-ha,The Sun Always Shines on TV.mid,132.000132000132,True,2466,44
